timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727197843565,4,GoToGuestBook_SendCom,200,,sendComment Stepping Thread Group 2-12,text,true,,4112,470,12,13,http://localhost:8080/guestbook.html,4,0,0
1727197844566,21,GetGuestBook_SendCom,200,,sendComment Stepping Thread Group 2-7,text,true,,18144,321,12,13,http://localhost:8080/service/guestbook,21,0,0
1727197844654,4,PostComent_SendCom,200,,sendComment Stepping Thread Group 2-1,text,true,,274,727,12,13,http://localhost:8080/service/guestbook,4,0,0
1727197844597,174,DELETE FROM BOOK,200,OK,clearGuestbookHistory 1-1,text,true,,11,0,1,13,null,173,0,167
1727197845565,6,PostComent_SendCom,200,,sendComment Stepping Thread Group 2-2,text,true,,274,609,12,13,http://localhost:8080/service/guestbook,6,0,0
1727197845567,4,GetGuestBook_SendCom,200,,sendComment Stepping Thread Group 2-8,text,true,,337,321,12,13,http://localhost:8080/service/guestbook,4,0,0
1727197846566,4,GetGuestBook_SendCom,200,,sendComment Stepping Thread Group 2-9,text,true,,337,321,12,13,http://localhost:8080/service/guestbook,4,0,0
1727197846567,4,PostComent_SendCom,200,,sendComment Stepping Thread Group 2-3,text,true,,274,631,12,13,http://localhost:8080/service/guestbook,4,0,0
1727197847565,4,GetGuestBook_SendCom,200,,sendComment Stepping Thread Group 2-10,text,true,,410,321,12,13,http://localhost:8080/service/guestbook,4,0,0
1727197847565,5,PostComent_SendCom,200,,sendComment Stepping Thread Group 2-4,text,true,,274,806,12,13,http://localhost:8080/service/guestbook,5,0,0
1727197848564,4,GetGuestBook_SendCom,200,,sendComment Stepping Thread Group 2-11,text,true,,545,321,12,13,http://localhost:8080/service/guestbook,4,0,0
1727197848565,5,PostComent_SendCom,200,,sendComment Stepping Thread Group 2-5,text,true,,274,705,12,13,http://localhost:8080/service/guestbook,5,0,0
1727197849565,6,GetGuestBook_SendCom,200,,sendComment Stepping Thread Group 2-12,text,true,,643,321,12,13,http://localhost:8080/service/guestbook,6,0,0
1727197849564,8,PostComent_SendCom,200,,sendComment Stepping Thread Group 2-6,text,true,,274,733,12,13,http://localhost:8080/service/guestbook,8,0,0
1727197850567,5,PostComent_SendCom,200,,sendComment Stepping Thread Group 2-7,text,true,,274,1434,12,13,http://localhost:8080/service/guestbook,5,0,0
1727197850655,3,Update_SendCom,200,,sendComment Stepping Thread Group 2-1,text,false,"Test failed: text expected to contain /<b>МТС Банк<\/b>: 'Самая надежная компания, рекомендую всем!'<br>/",1118,336,12,13,http://localhost:8080/service/guestbook,3,0,0
1727197851567,4,Update_SendCom,200,,sendComment Stepping Thread Group 2-2,text,true,,1118,336,12,13,http://localhost:8080/service/guestbook,4,0,0
1727197851569,3,PostComent_SendCom,200,,sendComment Stepping Thread Group 2-8,text,true,,274,732,12,13,http://localhost:8080/service/guestbook,3,0,0
1727197852566,6,Update_SendCom,200,,sendComment Stepping Thread Group 2-3,text,true,,1225,336,12,13,http://localhost:8080/service/guestbook,5,0,0
1727197852566,6,PostComent_SendCom,200,,sendComment Stepping Thread Group 2-9,text,true,,274,590,12,13,http://localhost:8080/service/guestbook,6,0,0
1727197853566,5,Update_SendCom,200,,sendComment Stepping Thread Group 2-4,text,true,,1283,336,12,13,http://localhost:8080/service/guestbook,5,0,0
1727197853567,5,PostComent_SendCom,200,,sendComment Stepping Thread Group 2-10,text,true,,274,529,12,13,http://localhost:8080/service/guestbook,5,0,0
1727197854565,3,Update_SendCom,200,,sendComment Stepping Thread Group 2-5,text,true,,1322,336,12,13,http://localhost:8080/service/guestbook,3,0,0
1727197854564,4,PostComent_SendCom,200,,sendComment Stepping Thread Group 2-11,text,true,,274,806,12,13,http://localhost:8080/service/guestbook,4,0,0
1727197855564,4,Update_SendCom,200,,sendComment Stepping Thread Group 2-6,text,true,,1457,336,12,13,http://localhost:8080/service/guestbook,4,0,0
1727197855565,5,PostComent_SendCom,200,,sendComment Stepping Thread Group 2-12,text,true,,274,742,12,13,http://localhost:8080/service/guestbook,4,0,0
1727197856566,5,Update_SendCom,200,,sendComment Stepping Thread Group 2-7,text,true,,1568,336,13,14,http://localhost:8080/service/guestbook,5,0,0
1727197856566,9,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-13,text,true,,22628,464,13,14,http://localhost:8080/index.html,8,0,2
1727197856654,6,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-1,text,true,,22628,464,13,14,http://localhost:8080/index.html,6,0,2
1727197857565,6,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-2,text,true,,22628,464,14,15,http://localhost:8080/index.html,6,0,1
1727197857566,5,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-14,text,true,,22628,464,14,15,http://localhost:8080/index.html,5,0,0
